id,title,authors,subjects,abs_link,pdf_link
arXiv:2507.05965,OpenFActScore: Open-Source Atomic Evaluation of Factuality in Text Generation,"Lucas Fonseca Lage, Simon Ostermann",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05965,https://arxiv.org/pdf/2507.05965
arXiv:2507.05951,Complexity Results of Persuasion,Alban Grastien,Computational Complexity (cs.CC); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05951,https://arxiv.org/pdf/2507.05951
arXiv:2507.05916,On the Effectiveness of Methods and Metrics for Explainable AI in Remote Sensing Image Scene Classification,"Jonas Klotz, Tom Burgert, Begüm Demir",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05916,https://arxiv.org/pdf/2507.05916
arXiv:2507.05911,Differentiable Reward Optimization for LLM based TTS system,"Changfeng Gao, Zhihao Du, Shiliang Zhang",Sound (cs.SD); Artificial Intelligence (cs.AI); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2507.05911,https://arxiv.org/pdf/2507.05911
arXiv:2507.05906,Feature-Based vs. GAN-Based Learning from Demonstrations: When and Why,"Chenhao Li, Marco Hutter, Andreas Krause",Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Graphics (cs.GR); Robotics (cs.RO),https://arxiv.org/abs/2507.05906,https://arxiv.org/pdf/2507.05906
arXiv:2507.05904,Universal Embeddings of Tabular Data,"Astrid Franz, Frederik Hoppe, Marianne Michaelis, Udo Göbel",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05904,https://arxiv.org/pdf/2507.05904
arXiv:2507.05890,Psychometric Item Validation Using Virtual Respondents with Trait-Response Mediators,"Sungjib Lim, Woojung Song, Eun-Ju Lee, Yohan Jo",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05890,https://arxiv.org/pdf/2507.05890
arXiv:2507.05888,Hierarchy or Heterarchy? A Theory of Long-Range Connections for the Sensorimotor Brain,"Jeff Hawkins, Niels Leadholm, Viviane Clay",Neurons and Cognition (q-bio.NC); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05888,https://arxiv.org/pdf/2507.05888
arXiv:2507.05884,Comparison of Path Planning Algorithms for Autonomous Vehicle Navigation Using Satellite and Airborne LiDAR Data,"Chang Liu, Zhexiong Xue, Tamas Sziranyi",Robotics (cs.RO); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05884,https://arxiv.org/pdf/2507.05884
arXiv:2507.05829,Intra-DP: A High Performance Collaborative Inference System for Mobile Edge Computing,"Zekai Sun, Xiuxian Guan, Zheng Lin, Zihan Fang, Xiangming Cai, Zhe Chen, Fangming Liu, Heming Cui, Jie Xiong, Wei Ni, Chau Yuen",Networking and Internet Architecture (cs.NI); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.05829,https://arxiv.org/pdf/2507.05829
